OTU,Domaine,Phylum,Classe,Ordre,Famille,Genre,Espece
Otu02774,Bacteria,Bacteroidetes,(Saprospirae),(Saprospirales),Chitinophagaceae,Filimonas,Filimonas lacunae
Otu02775,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium,Phascolarctobacterium unclassified
Otu02776,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter unclassified
Otu02777,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmataceae_unclassified,unclassified unclassified
Otu02778,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,0319-7L14_unclassified,0319-7L14_unclassified,unclassified unclassified
Otu02779,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,MIZ46_unclassified,MIZ46_unclassified,unclassified unclassified
Otu02780,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola,Fluviicola unclassified
Otu02781,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Oceanibaculum,Oceanibaculum indicum
Otu02782,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Simiduia,Simiduia areninigrae
Otu02783,Bacteria,Bacteroidetes,(Saprospirae),(Saprospirales),Chitinophagaceae,Chitinophagaceae_unclassified,unclassified unclassified
Otu02784,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,iii1-15_unclassified,iii1-15_unclassified,unclassified unclassified
Otu02785,Bacteria,Bacteroidetes,(Saprospirae),(Saprospirales),Chitinophagaceae,Terrimonas,Terrimonas ferruginea
Otu02786,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,Ulvophyceae,Codium,Codium fragile
Otu02787,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiellaceae_unclassified,unclassified unclassified
