OTU;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41;s42;s43;s44;s45;s13;s46;s47;s48;s49;s50;s51;s52;s53;s54;s55;s56;s57;s58;s59;s60;s61;s62;s63;s64;s65;s66;s67;s68;s69;s70;s71;s72;s73;s74;s75;s76;s77;s78;s79;s80;s81;s82;s83;s84;s85;s86;s87;s88;s89;s90;s91;s92;s93;s94;s95;s96;s97;s98;s99;s100;s101;s102;s103;s104;s105;s106;s107;s108;s109;s110
Otu00038;6;15;291;20;6;53;1;17;42;124;25;19;3;2;14;153;70;3;4;2;3;36;56;0;98;88;67;14;5;21;3;10;86;1;66;210;3;0;32;121;0;1;61;1;10;12;16;261;132;142;2;121;16;3;94;7;213;9;6;8;3;116;93;3;0;88;189;5;3;44;87;190;11;213;215;4;13;17;0;74;4;241;17;9;97;5;11;405;152;18;361;458;284;42;38;385;79;60;44;413;275;303;353;506;404;31;21;11;21;117
Otu00039;0;1;84;40;1;59;0;8;10;27;2;0;2;0;0;330;64;0;1;2;0;3;10;0;43;35;32;0;2;21;1;2;27;0;3;84;2;0;17;65;0;0;23;0;0;40;29;127;98;198;0;310;17;2;75;2;216;0;0;18;0;34;98;3;0;462;397;15;2;42;100;97;0;378;208;2;0;4;2;68;1;37;49;0;41;2;0;94;276;2;61;243;509;2;32;244;60;54;46;627;801;527;572;418;412;0;8;1;6;167
Otu00040;14;10;183;14;4;51;14;38;57;267;64;3;0;4;3;257;130;27;6;21;3;358;203;12;415;411;104;6;5;56;14;4;172;2;108;17;4;0;74;84;0;2;44;6;2;63;24;62;291;8;0;194;132;142;79;11;25;17;0;57;13;40;211;6;2;40;131;5;10;39;225;183;1;106;95;1;0;19;5;37;0;385;10;1;114;2;14;874;55;15;490;136;24;5;11;268;23;17;18;372;295;323;25;24;13;2;7;4;38;205
Otu00041;553;2;0;336;368;194;201;498;164;0;173;0;0;591;0;0;3;137;104;47;0;3;0;0;0;0;4;0;0;96;404;21;4;6;34;4;403;0;1;1;0;2;0;161;129;293;109;6;0;0;0;0;294;207;6;2;2;534;0;281;74;11;0;0;0;3;0;338;160;21;0;0;0;0;0;1;0;196;301;27;10;3;3;0;50;0;432;0;0;172;0;3;3;0;206;0;239;204;155;0;0;0;0;2;1;0;0;0;181;1
Otu00042;13;9;203;33;2;13;4;13;15;136;14;0;0;1;2;119;83;5;29;7;1;21;76;12;62;26;6;0;0;22;2;11;56;0;17;305;2;0;41;80;17;0;2;0;4;3;40;5;207;33;0;1941;4;5;21;11;35;29;0;13;2;2;156;4;0;41;319;3;11;0;49;50;0;258;20;0;1;22;2;7;0;146;4;0;369;2;34;504;221;34;165;968;241;1;11;156;20;16;9;387;248;230;39;115;66;0;10;0;19;217
Otu00043;147;2;0;391;713;246;245;189;144;0;189;0;9;712;0;2;1;26;22;9;0;0;0;0;0;0;1;0;1;88;122;119;17;54;8;13;471;12;0;9;89;46;0;228;177;696;304;3;3;0;3;8;637;570;5;5;6;185;0;186;19;0;0;0;0;1;0;36;27;0;0;0;1;0;0;0;0;65;83;1;0;0;0;0;14;2;218;4;4;219;0;6;1;0;267;1;184;188;170;2;0;0;3;2;0;0;0;0;94;0
Otu00044;0;22;0;2;9;27;4;4;0;4;2;32;150;0;25;0;2;0;3;2;5;3;2;0;7;7;18;4;15;23;8;20;22;3;137;36;2;4;11;7;17;3;13;3;7;28;38;21;46;115;728;84;39;11;40;159;123;0;1294;51;3;35;3;603;69;101;12;66;0;55;2;1;54;2;93;1126;51;0;2;39;447;0;37;3;8;2;0;7;10;6;3;2;39;181;22;3;133;99;86;18;11;17;198;180;179;354;227;331;8;0
Otu00045;6;0;209;0;0;0;1;1;2;219;14;0;5;3;0;23;6;2;0;0;0;32;4;0;0;43;2;0;0;6;4;99;19;2;0;2165;3;0;10;1476;0;0;2;0;19;2;26;22;429;23;3;810;21;20;690;156;0;0;15;2;0;13;3;13;0;3;265;0;2;46;4;31;0;34;2;0;31;4;1;8;10;35;0;0;170;0;2;46;356;4;15;17;17;4;2;5;0;3;4;10;9;12;44;89;59;2;5;7;8;94
Otu00046;206;25;3;188;271;459;896;97;62;18;42;0;0;244;0;1;4;44;95;51;1;17;56;0;0;3;35;0;0;23;155;22;6;11;19;4;188;18;443;29;13;10;334;156;210;292;157;7;47;0;0;4;11;21;9;7;0;214;0;26;13;31;50;2;0;5;3;104;62;12;15;8;0;0;2;0;0;88;119;11;2;13;25;0;14;3;120;32;4;151;151;5;1;8;508;34;297;288;177;178;75;75;6;5;2;1;4;5;40;2
Otu00047;13;0;398;16;0;21;0;34;23;184;29;0;0;1;0;357;218;10;5;6;2;147;115;36;45;295;85;0;8;35;8;1;214;1;20;102;2;1;11;33;8;0;10;2;0;2;4;129;183;16;0;128;13;12;143;14;113;8;3;3;8;60;194;4;0;47;412;12;18;40;125;130;3;339;83;1;3;13;3;39;3;153;11;3;177;2;9;272;80;2;135;173;21;0;6;446;5;2;2;498;362;382;11;17;19;0;7;0;35;332
Otu00048;23;0;0;314;732;280;536;69;61;0;288;0;0;667;0;0;0;95;0;2;2;5;0;0;0;0;0;0;0;71;35;36;8;7;0;19;652;5;1;25;47;3;0;462;694;346;162;0;0;2;2;1;149;161;1;1;3;131;0;275;9;3;0;2;0;7;0;12;32;0;0;0;0;0;3;0;0;28;29;0;0;0;3;0;2;0;72;1;1;73;0;7;19;2;405;0;305;218;139;0;0;0;4;2;3;0;0;0;73;0
Otu00049;224;4;6;153;629;310;349;66;90;0;67;0;0;967;0;1;1;22;23;4;0;0;0;0;0;0;3;0;0;30;231;63;50;8;6;29;376;9;0;44;72;3;0;217;449;425;209;8;1;16;1;4;16;11;2;0;2;199;0;75;37;0;0;0;0;0;0;125;90;0;4;0;2;3;11;0;7;64;450;18;18;0;292;0;7;0;200;4;0;147;3;7;4;2;476;1;93;65;70;2;0;0;2;2;0;1;0;0;65;0
Otu00050;5;2;98;82;0;109;0;76;148;86;28;1;0;0;6;227;235;0;0;5;3;28;51;0;15;47;6;3;0;24;4;5;169;0;8;61;0;1;20;22;13;0;11;0;0;1;5;97;235;2;0;35;0;4;31;6;2;34;2;1;2;22;328;4;0;4;153;2;3;18;182;271;0;123;0;0;2;29;0;43;2;271;2;0;116;0;27;618;181;3;242;157;133;3;6;315;6;5;4;353;517;271;139;116;115;3;3;3;23;460
Otu00051;15;3;7;138;91;165;231;48;26;2;198;0;0;131;0;0;0;21;19;3;0;0;1;0;0;0;0;2;0;29;10;7;35;2;0;19;197;8;14;12;42;2;6;223;283;305;116;3;28;5;1;14;478;544;12;2;6;523;1;845;23;4;0;7;0;0;1;5;16;0;0;0;0;0;0;0;0;126;36;3;0;2;11;0;0;0;43;4;3;153;41;40;30;4;718;25;391;262;269;17;22;16;17;16;5;0;6;1;24;0
